"id","id","kode","name","deskripsi"
"__export__.cdn_icd9_11808_5521dff2","__export__.cdn_icd9_11808_5521dff2","00.01","Therapeutic ultrasound of vessels of head and neck","Ther ult head & neck ves"
"__export__.cdn_icd9_11809_3853f1bb","__export__.cdn_icd9_11809_3853f1bb","00.02","Therapeutic ultrasound of heart","Ther ultrasound of heart"
"__export__.cdn_icd9_11810_3de1eb77","__export__.cdn_icd9_11810_3de1eb77","00.03","Therapeutic ultrasound of peripheral vascular vessels","Ther ult peripheral ves"
"__export__.cdn_icd9_11811_68f86aca","__export__.cdn_icd9_11811_68f86aca","00.09","Other therapeutic ultrasound","Other therapeutic ultsnd"
"__export__.cdn_icd9_11812_581e30f3","__export__.cdn_icd9_11812_581e30f3","00.10","Implantation of chemotherapeutic agent","Implant chemothera agent"
"__export__.cdn_icd9_11813_228e3e78","__export__.cdn_icd9_11813_228e3e78","00.11","Infusion of drotrecogin alfa (activated)","Infus drotrecogin alfa"
"__export__.cdn_icd9_11814_d29c8990","__export__.cdn_icd9_11814_d29c8990","00.12","Administration of inhaled nitric oxide","Adm inhal nitric oxide"
"__export__.cdn_icd9_11815_14e7a737","__export__.cdn_icd9_11815_14e7a737","00.13","Injection or infusion of nesiritide","Inject/infus nesiritide"
"__export__.cdn_icd9_11816_65c3f81b","__export__.cdn_icd9_11816_65c3f81b","00.14","Injection or infusion of oxazolidinone class of antibiotics","Injection oxazolidinone"
"__export__.cdn_icd9_11817_448e1d12","__export__.cdn_icd9_11817_448e1d12","00.15","High-dose infusion interleukin-2 [IL-2]","High-dose infusion IL-2"
"__export__.cdn_icd9_11818_eca13465","__export__.cdn_icd9_11818_eca13465","00.16","Pressurized treatment of venous bypass graft [conduit] with pharmaceutical substance","Pressurized treat graft"
"__export__.cdn_icd9_11819_0b11c48c","__export__.cdn_icd9_11819_0b11c48c","00.17","Infusion of vasopressor agent","Infusion of vasopressor"
"__export__.cdn_icd9_11820_ea68e176","__export__.cdn_icd9_11820_ea68e176","00.18","Infusion of immunosuppressive antibody therapy","Infus immunosup antibody"
"__export__.cdn_icd9_11821_76a7ea14","__export__.cdn_icd9_11821_76a7ea14","00.19","Disruption of blood brain barrier via infusion [BBBD]","BBBD via infusion"
"__export__.cdn_icd9_11822_92f215ac","__export__.cdn_icd9_11822_92f215ac","00.21","Intravascular imaging of extracranial cerebral vessels","IVUS extracran cereb ves"
"__export__.cdn_icd9_11823_efc5351a","__export__.cdn_icd9_11823_efc5351a","00.22","Intravascular imaging of intrathoracic vessels","IVUS intrathoracic ves"
"__export__.cdn_icd9_11824_7f5748b6","__export__.cdn_icd9_11824_7f5748b6","00.23","Intravascular imaging of peripheral vessels","IVUS peripheral vessels"
"__export__.cdn_icd9_11825_2d7eb1a8","__export__.cdn_icd9_11825_2d7eb1a8","00.24","Intravascular imaging of coronary vessels","IVUS coronary vessels"
"__export__.cdn_icd9_11826_11a70f4d","__export__.cdn_icd9_11826_11a70f4d","00.25","Intravascular imaging of renal vessels","IVUS renal vessels"
"__export__.cdn_icd9_11827_450244de","__export__.cdn_icd9_11827_450244de","00.28","Intravascular imaging, other specified vessel(s)","Intravascul imaging NEC"
"__export__.cdn_icd9_11828_934fd935","__export__.cdn_icd9_11828_934fd935","00.29","Intravascular imaging, unspecified vessel(s)","Intravascul imaging NOS"
"__export__.cdn_icd9_11829_7f319cc3","__export__.cdn_icd9_11829_7f319cc3","00.31","Computer assisted surgery with CT/CTA","CAS w CT/CTA"
"__export__.cdn_icd9_11830_06eb6b3b","__export__.cdn_icd9_11830_06eb6b3b","00.32","Computer assisted surgery with MR/MRA","CAS w MR/MRA"
"__export__.cdn_icd9_11831_f16d5e3f","__export__.cdn_icd9_11831_f16d5e3f","00.33","Computer assisted surgery with fluoroscopy","CAS w fluoroscopy"
"__export__.cdn_icd9_11832_dd5a8cdd","__export__.cdn_icd9_11832_dd5a8cdd","00.34","Imageless computer assisted surgery","Imageless comp asst surg"
"__export__.cdn_icd9_11833_6efc583f","__export__.cdn_icd9_11833_6efc583f","00.35","Computer assisted surgery with multiple datasets","CAS w multiple datasets"
"__export__.cdn_icd9_11834_dcccb095","__export__.cdn_icd9_11834_dcccb095","00.39","Other computer assisted surgery","Other CAS"
"__export__.cdn_icd9_11835_e612687f","__export__.cdn_icd9_11835_e612687f","00.40","Procedure on single vessel","Procedure-one vessel"
"__export__.cdn_icd9_11836_622e5175","__export__.cdn_icd9_11836_622e5175","00.41","Procedure on two vessels","Procedure-two vessels"
"__export__.cdn_icd9_11837_f084793d","__export__.cdn_icd9_11837_f084793d","00.42","Procedure on three vessels","Procedure-three vessels"
"__export__.cdn_icd9_11838_223f3e17","__export__.cdn_icd9_11838_223f3e17","00.43","Procedure on four or more vessels","Procedure-four+ vessels"
"__export__.cdn_icd9_11839_c38f95e6","__export__.cdn_icd9_11839_c38f95e6","00.44","Procedure on vessel bifurcation","Proc-vessel bifurcation"
"__export__.cdn_icd9_11840_4831a686","__export__.cdn_icd9_11840_4831a686","00.45","Insertion of one vascular stent","Insert 1 vascular stent"
"__export__.cdn_icd9_11841_d8b5448f","__export__.cdn_icd9_11841_d8b5448f","00.46","Insertion of two vascular stents","Insert 2 vascular stents"
"__export__.cdn_icd9_11842_be90e526","__export__.cdn_icd9_11842_be90e526","00.47","Insertion of three vascular stents","Insert 3 vascular stents"
"__export__.cdn_icd9_11843_0a5fea06","__export__.cdn_icd9_11843_0a5fea06","00.48","Insertion of four or more vascular stents","Insert 4+ vasculr stents"
"__export__.cdn_icd9_11844_83d93a3c","__export__.cdn_icd9_11844_83d93a3c","00.49","Supersaturated oxygen therapy","SuperSat O2 therapy"
"__export__.cdn_icd9_11845_751c9ba2","__export__.cdn_icd9_11845_751c9ba2","00.50","Implantation of cardiac resynchronization pacemaker without mention of defibrillation, total system [CRT-P]","Impl CRT pacemaker sys"
"__export__.cdn_icd9_11846_d96c364e","__export__.cdn_icd9_11846_d96c364e","00.51","Implantation of cardiac resynchronization defibrillator, total system [CRT-D]","Impl CRT defibrillat sys"
"__export__.cdn_icd9_11847_5769f14c","__export__.cdn_icd9_11847_5769f14c","00.52","Implantation or replacement of transvenous lead [electrode] into left ventricular coronary venous system","Imp/rep lead lf ven sys"
"__export__.cdn_icd9_11848_6900cad9","__export__.cdn_icd9_11848_6900cad9","00.53","Implantation or replacement of cardiac resynchronization pacemaker pulse generator only [CRT-P]","Imp/rep CRT pacemakr gen"
"__export__.cdn_icd9_11849_9e76f088","__export__.cdn_icd9_11849_9e76f088","00.54","Implantation or replacement of cardiac resynchronization defibrillator pulse generator only [CRT-D]","Imp/rep CRT defib genat"
"__export__.cdn_icd9_11850_b07e8ce0","__export__.cdn_icd9_11850_b07e8ce0","00.55","Insertion of drug-eluting stent(s) of other peripheral vessel(s)","Ins d-e stent oth periph"
"__export__.cdn_icd9_11851_25a9368f","__export__.cdn_icd9_11851_25a9368f","00.56","Insertion or replacement of implantable pressure sensor with lead for intracardiac or great vessel hemodynamic monitoring","Ins/rep sens-crd/vsl mtr"
"__export__.cdn_icd9_11852_d951ee43","__export__.cdn_icd9_11852_d951ee43","00.57","Implantation or replacement of subcutaneous device for intracardiac or great vessel hemodynamic monitoring","Imp/rep subcue card dev"
"__export__.cdn_icd9_11853_1609ea0f","__export__.cdn_icd9_11853_1609ea0f","00.58","Insertion of intra-aneurysm sac pressure monitoring device (intraoperative)","Ins intra-ansm pres mntr"
"__export__.cdn_icd9_11854_f90f178e","__export__.cdn_icd9_11854_f90f178e","00.59","Intravascular pressure measurement of coronary arteries","Intravasc msmnt cor art"
"__export__.cdn_icd9_11855_250a39ac","__export__.cdn_icd9_11855_250a39ac","00.60","Insertion of drug-eluting stent(s) of superficial femoral artery","Ins d-e stnt sup fem art"
"__export__.cdn_icd9_11856_eedadf17","__export__.cdn_icd9_11856_eedadf17","00.61","Percutaneous angioplasty of extracranial vessel(s)","Perc angio extracran ves"
"__export__.cdn_icd9_11857_03533197","__export__.cdn_icd9_11857_03533197","00.62","Percutaneous angioplasty of intracranial vessel(s)","Perc angio intracran ves"
"__export__.cdn_icd9_11858_d2980e00","__export__.cdn_icd9_11858_d2980e00","00.63","Percutaneous insertion of carotid artery stent(s)","Perc ins carotid stent"
"__export__.cdn_icd9_11859_36128113","__export__.cdn_icd9_11859_36128113","00.64","Percutaneous insertion of other extracranial artery stent(s)","Perc ins extracran stent"
"__export__.cdn_icd9_11860_f2e3fc63","__export__.cdn_icd9_11860_f2e3fc63","00.65","Percutaneous insertion of intracranial vascular stent(s)","Perc ins intracran stent"
"__export__.cdn_icd9_11861_63d96eee","__export__.cdn_icd9_11861_63d96eee","00.66","Percutaneous transluminal coronary angioplasty [PTCA]","PTCA"
"__export__.cdn_icd9_11862_85ba09a6","__export__.cdn_icd9_11862_85ba09a6","00.67","Intravascular pressure measurement of intrathoracic arteries","Intravas msmnt thorc art"
"__export__.cdn_icd9_11863_a4681abe","__export__.cdn_icd9_11863_a4681abe","00.68","Intravascular pressure measurement of peripheral arteries","Intravas msmt periph art"
"__export__.cdn_icd9_11864_3a40a5af","__export__.cdn_icd9_11864_3a40a5af","00.69","Intravascular pressure measurement, other specified and unspecified vessels","Intravs msmt ves NEC/NOS"
"__export__.cdn_icd9_11865_f2c146bb","__export__.cdn_icd9_11865_f2c146bb","00.70","Revision of hip replacement, both acetabular and femoral components","Rev hip repl-acetab/fem"
"__export__.cdn_icd9_11866_899722ec","__export__.cdn_icd9_11866_899722ec","00.71","Revision of hip replacement, acetabular component","Rev hip repl-acetab comp"
"__export__.cdn_icd9_11867_1f1d43b9","__export__.cdn_icd9_11867_1f1d43b9","00.72","Revision of hip replacement, femoral component","Rev hip repl-fem comp"
"__export__.cdn_icd9_11868_c3199c53","__export__.cdn_icd9_11868_c3199c53","00.73","Revision of hip replacement, acetabular liner and/or femoral head only","Rev hip repl-liner/head"
"__export__.cdn_icd9_11869_a1a91636","__export__.cdn_icd9_11869_a1a91636","00.74","Hip bearing surface, metal-on-polyethylene","Hip surface, metal/poly"
"__export__.cdn_icd9_11870_ca702e39","__export__.cdn_icd9_11870_ca702e39","00.75","Hip bearing surface, metal-on-metal","Hip surface, metal/metal"
"__export__.cdn_icd9_11871_ee0c5163","__export__.cdn_icd9_11871_ee0c5163","00.76","Hip bearing surface, ceramic-on-ceramic","Hip surface, cermc/cermc"
"__export__.cdn_icd9_11872_c0149f20","__export__.cdn_icd9_11872_c0149f20","00.77","Hip bearing surface, ceramic-on-polyethylene","Hip surface, cermc/poly"
"__export__.cdn_icd9_11873_911b8d29","__export__.cdn_icd9_11873_911b8d29","00.80","Revision of knee replacement, total (all components)","Rev knee replacemt-total"
"__export__.cdn_icd9_11874_2fcf561d","__export__.cdn_icd9_11874_2fcf561d","00.81","Revision of knee replacement, tibial component","Rev knee repl-tibia comp"
"__export__.cdn_icd9_11875_5b0daebc","__export__.cdn_icd9_11875_5b0daebc","00.82","Revision of knee replacement, femoral component","Rev knee repl-femur comp"
"__export__.cdn_icd9_11876_8f45450d","__export__.cdn_icd9_11876_8f45450d","00.83","Revision of knee replacement, patellar component","Rev knee replace-patella"
"__export__.cdn_icd9_11877_f50e65a0","__export__.cdn_icd9_11877_f50e65a0","00.84","Revision of total knee replacement, tibial insert (liner)","Rev knee repl-tibia lin"
"__export__.cdn_icd9_11878_f516f3bf","__export__.cdn_icd9_11878_f516f3bf","00.85","Resurfacing hip, total, acetabulum and femoral head","Resrf hip,total-acet/fem"
"__export__.cdn_icd9_11879_2e5bbab5","__export__.cdn_icd9_11879_2e5bbab5","00.86","Resurfacing hip, partial, femoral head","Resrf hip,part-fem head"
"__export__.cdn_icd9_11880_6df145e3","__export__.cdn_icd9_11880_6df145e3","00.87","Resurfacing hip, partial, acetabulum","Resrf hip,part-acetablum"
"__export__.cdn_icd9_11881_4a98c36d","__export__.cdn_icd9_11881_4a98c36d","00.91","Transplant from live related donor","Trnsplnt live rel donor"
"__export__.cdn_icd9_11882_bce86f3c","__export__.cdn_icd9_11882_bce86f3c","00.92","Transplant from live non-related donor","Trnsplnt live nonrel don"
"__export__.cdn_icd9_11883_6f412543","__export__.cdn_icd9_11883_6f412543","00.93","Transplant from cadaver","Transplant cadaver donor"
"__export__.cdn_icd9_11884_0e6fec89","__export__.cdn_icd9_11884_0e6fec89","00.94","Intra-operative neurophysiologic monitoring","Intra-op neurophys montr"
"__export__.cdn_icd9_11885_fd0fb9bd","__export__.cdn_icd9_11885_fd0fb9bd","00.95","Injection or infusion of glucarpidase","Injct/infus glucarpidase"
"__export__.cdn_icd9_11886_1bd8a986","__export__.cdn_icd9_11886_1bd8a986","00.96","Infusion of 4-Factor Prothrombin Complex Concentrate","Infusion 4F-PCC"
"__export__.cdn_icd9_11887_d8ed779a","__export__.cdn_icd9_11887_d8ed779a","01.01","Cisternal puncture","Cisternal puncture"
"__export__.cdn_icd9_11888_8efbda0d","__export__.cdn_icd9_11888_8efbda0d","01.02","Ventriculopuncture through previously implanted catheter","Ventricl shunt tube punc"
"__export__.cdn_icd9_11889_fd8ce1c9","__export__.cdn_icd9_11889_fd8ce1c9","01.09","Other cranial puncture","Cranial puncture NEC"
"__export__.cdn_icd9_11890_ec0a54cf","__export__.cdn_icd9_11890_ec0a54cf","01.10","Intracranial pressure monitoring","Intracran pressure montr"
"__export__.cdn_icd9_11891_22868cfa","__export__.cdn_icd9_11891_22868cfa","01.11","Closed [percutaneous] [needle] biopsy of cerebral meninges","Clos cereb meninges bx"
"__export__.cdn_icd9_11892_0c2f8ae3","__export__.cdn_icd9_11892_0c2f8ae3","01.12","Open biopsy of cerebral meninges","Open cereb meninges bx"
"__export__.cdn_icd9_11893_7110d541","__export__.cdn_icd9_11893_7110d541","01.13","Closed [percutaneous] [needle] biopsy of brain","Closed brain biopsy"
"__export__.cdn_icd9_11894_d8e7c49c","__export__.cdn_icd9_11894_d8e7c49c","01.14","Open biopsy of brain","Open brain biopsy"
"__export__.cdn_icd9_11895_8e4de833","__export__.cdn_icd9_11895_8e4de833","01.15","Biopsy of skull","Skull biopsy"
"__export__.cdn_icd9_11896_d0b104b4","__export__.cdn_icd9_11896_d0b104b4","01.16","Intracranial oxygen monitoring","Intracranial 02 monitor"
"__export__.cdn_icd9_11897_0a263763","__export__.cdn_icd9_11897_0a263763","01.17","Brain temperature monitoring","Brain temp monitoring"
"__export__.cdn_icd9_11898_75a2076a","__export__.cdn_icd9_11898_75a2076a","01.18","Other diagnostic procedures on brain and cerebral meninges","Other brain dx procedure"
"__export__.cdn_icd9_11899_314171b3","__export__.cdn_icd9_11899_314171b3","01.19","Other diagnostic procedures on skull","Other skull dx procedure"
"__export__.cdn_icd9_11900_bafc3445","__export__.cdn_icd9_11900_bafc3445","01.20","Cranial implantation or replacement of neurostimulator pulse generator","Imp/repl brain pulse gen"
"__export__.cdn_icd9_11901_7122799f","__export__.cdn_icd9_11901_7122799f","01.21","Incision and drainage of cranial sinus","Cranial sinus i & d"
"__export__.cdn_icd9_11902_c7393a77","__export__.cdn_icd9_11902_c7393a77","01.22","Removal of intracranial neurostimulator lead(s)","Removal brain stim lead"
"__export__.cdn_icd9_11903_f2d0117d","__export__.cdn_icd9_11903_f2d0117d","01.23","Reopening of craniotomy site","Reopen craniotomy site"
"__export__.cdn_icd9_11904_105c4c5d","__export__.cdn_icd9_11904_105c4c5d","01.24","Other craniotomy","Other craniotomy"
"__export__.cdn_icd9_11905_fcd69f26","__export__.cdn_icd9_11905_fcd69f26","01.25","Other craniectomy","Other craniectomy"
"__export__.cdn_icd9_11906_52f59efb","__export__.cdn_icd9_11906_52f59efb","01.26","Insertion of catheter(s) into cranial cavity or tissue","Ins cath cranial cav/tis"
"__export__.cdn_icd9_11907_e3360c01","__export__.cdn_icd9_11907_e3360c01","01.27","Removal of catheter(s) from cranial cavity or tissue","Rem cath cranial cav/tis"
"__export__.cdn_icd9_11908_3d3057fb","__export__.cdn_icd9_11908_3d3057fb","01.28","Placement of intracerebral catheter(s) via burr hole(s)","Intracereb cth-burr hole"
"__export__.cdn_icd9_11909_1a78fd3a","__export__.cdn_icd9_11909_1a78fd3a","01.29","Removal of cranial neurostimulator pulse generator","Rem brain pulse generatr"
"__export__.cdn_icd9_11910_492b46cb","__export__.cdn_icd9_11910_492b46cb","01.31","Incision of cerebral meninges","Incise cerebral meninges"
"__export__.cdn_icd9_11911_492a5d89","__export__.cdn_icd9_11911_492a5d89","01.32","Lobotomy and tractotomy","Lobotomy & tractotomy"
"__export__.cdn_icd9_11912_e680fdc5","__export__.cdn_icd9_11912_e680fdc5","01.39","Other incision of brain","Other brain incision"
"__export__.cdn_icd9_11913_81422c93","__export__.cdn_icd9_11913_81422c93","01.41","Operations on thalamus","Thalamus operations"
"__export__.cdn_icd9_11914_17e71e71","__export__.cdn_icd9_11914_17e71e71","01.42","Operations on globus pallidus","Globus pallidus ops"
"__export__.cdn_icd9_11915_8d269c80","__export__.cdn_icd9_11915_8d269c80","01.51","Excision of lesion or tissue of cerebral meninges","Ex cereb meningeal les"
"__export__.cdn_icd9_11916_3cd4833f","__export__.cdn_icd9_11916_3cd4833f","01.52","Hemispherectomy","Hemispherectomy"
"__export__.cdn_icd9_11917_5aeb5b5b","__export__.cdn_icd9_11917_5aeb5b5b","01.53","Lobectomy of brain","Brain lobectomy"
"__export__.cdn_icd9_11918_03a82993","__export__.cdn_icd9_11918_03a82993","01.59","Other excision or destruction of lesion or tissue of brain","Other brain excision"
"__export__.cdn_icd9_11919_fc5af4a5","__export__.cdn_icd9_11919_fc5af4a5","01.6","Excision of lesion of skull","Excise skull lesion"
"__export__.cdn_icd9_11920_189c9aa9","__export__.cdn_icd9_11920_189c9aa9","02.01","Opening of cranial suture","Linear craniectomy"
"__export__.cdn_icd9_11921_bf78b77a","__export__.cdn_icd9_11921_bf78b77a","02.02","Elevation of skull fracture fragments","Elevate skull fx fragmnt"
"__export__.cdn_icd9_11922_9a2b50aa","__export__.cdn_icd9_11922_9a2b50aa","02.03","Formation of cranial bone flap","Skull flap formation"
"__export__.cdn_icd9_11923_0821b093","__export__.cdn_icd9_11923_0821b093","02.04","Bone graft to skull","Bone graft to skull"
"__export__.cdn_icd9_11924_acee653d","__export__.cdn_icd9_11924_acee653d","02.05","Insertion of skull plate","Skull plate insertion"
"__export__.cdn_icd9_11925_42bb34d3","__export__.cdn_icd9_11925_42bb34d3","02.06","Other cranial osteoplasty","Cranial osteoplasty NEC"
"__export__.cdn_icd9_11926_4fcc711f","__export__.cdn_icd9_11926_4fcc711f","02.07","Removal of skull plate","Skull plate removal"
"__export__.cdn_icd9_11927_1192fb12","__export__.cdn_icd9_11927_1192fb12","02.11","Simple suture of dura mater of brain","Simple suture of dura"
"__export__.cdn_icd9_11928_556a2324","__export__.cdn_icd9_11928_556a2324","02.12","Other repair of cerebral meninges","Brain meninge repair NEC"
"__export__.cdn_icd9_11929_780b32e5","__export__.cdn_icd9_11929_780b32e5","02.13","Ligation of meningeal vessel","Meninge vessel ligation"
"__export__.cdn_icd9_11930_9be738e4","__export__.cdn_icd9_11930_9be738e4","02.14","Choroid plexectomy","Choroid plexectomy"
"__export__.cdn_icd9_11931_b661e1a9","__export__.cdn_icd9_11931_b661e1a9","02.21","Insertion or replacement of external ventricular drain [EVD]","Insert/replace EVD"
"__export__.cdn_icd9_11932_50255df6","__export__.cdn_icd9_11932_50255df6","02.22","Intracranial ventricular shunt or anastomosis","Intrcran vent shunt/anas"
