"id","name","kode","active","keterangan","id"
"__export__.cdn_ref_diet_49_e6b55fe6","BH","D03","True","","__export__.cdn_ref_diet_49_e6b55fe6"
"__export__.cdn_ref_diet_50_8a34d859","BH","D04","True","","__export__.cdn_ref_diet_50_8a34d859"
"__export__.cdn_ref_diet_51_32fd4834","BH 1700 kkal rendah protein steril","D25","True","","__export__.cdn_ref_diet_51_32fd4834"
"__export__.cdn_ref_diet_52_b6e05696","BH 1700KKAL","D26","True","","__export__.cdn_ref_diet_52_b6e05696"
"__export__.cdn_ref_diet_53_0ab84794","BH DM 1700KKAL","D09","True","","__export__.cdn_ref_diet_53_0ab84794"
"__export__.cdn_ref_diet_54_fa5daa2a","BH kecap tanpa santan garam","D21","True","","__export__.cdn_ref_diet_54_fa5daa2a"
"__export__.cdn_ref_diet_55_9925361d","bh rg rendah protein","D29","True","","__export__.cdn_ref_diet_55_9925361d"
"__export__.cdn_ref_diet_56_9f231c73","BH STERIL","D13","True","","__export__.cdn_ref_diet_56_9f231c73"
"__export__.cdn_ref_diet_57_1d4aabd9","BH,RG,rendah protein","D28","True","","__export__.cdn_ref_diet_57_1d4aabd9"
"__export__.cdn_ref_diet_58_ebeffffb","BUBUR SARING","D37","True","","__export__.cdn_ref_diet_58_ebeffffb"
"__export__.cdn_ref_diet_59_f38439a9","buring","D43","True","","__export__.cdn_ref_diet_59_f38439a9"
"__export__.cdn_ref_diet_60_0d3dd539","Cair  TKTP 1700 Kkal","D39","True","","__export__.cdn_ref_diet_60_0d3dd539"
"__export__.cdn_ref_diet_61_ab13ec93","Cair RG 1700 Kkal","D40","True","","__export__.cdn_ref_diet_61_ab13ec93"
"__export__.cdn_ref_diet_62_9b1293b1","CAIR+TKTP","D36","True","","__export__.cdn_ref_diet_62_9b1293b1"
"__export__.cdn_ref_diet_63_0f6cdab8","DIet Cair","D06","True","","__export__.cdn_ref_diet_63_0f6cdab8"
"__export__.cdn_ref_diet_64_d0dbd9a3","DM","D20","True","","__export__.cdn_ref_diet_64_d0dbd9a3"
"__export__.cdn_ref_diet_65_f89cee78","DM 1700 KKAL EKSTRA PUTEL","D44","True","","__export__.cdn_ref_diet_65_f89cee78"
"__export__.cdn_ref_diet_66_5fa91ae8","DM DJ 1700 KKAL ","D45","True","","__export__.cdn_ref_diet_66_5fa91ae8"
"__export__.cdn_ref_diet_67_7f0d7253","DM DJ R.PURIN 1700 KKAL","D46","True","","__export__.cdn_ref_diet_67_7f0d7253"
"__export__.cdn_ref_diet_68_76afc2d7","DM DJ R.PURIN 1700 KKAL BUBUR SUMSUM","D47","True","","__export__.cdn_ref_diet_68_76afc2d7"
"__export__.cdn_ref_diet_69_666b0edc","DM DJ R.PURIN 1700 KKAL BUBUR SUMSUM EKSTRA PUTEL","D48","True","","__export__.cdn_ref_diet_69_666b0edc"
"__export__.cdn_ref_diet_70_4b45b9c6","DM DJ RP 1700 KKAL BS EKSTRA","D49","True","","__export__.cdn_ref_diet_70_4b45b9c6"
"__export__.cdn_ref_diet_71_50587547","dm rg cair","D30","True","","__export__.cdn_ref_diet_71_50587547"
"__export__.cdn_ref_diet_72_7701e8b5","DM RG LUNAK","D32","True","","__export__.cdn_ref_diet_72_7701e8b5"
"__export__.cdn_ref_diet_73_42ac93f1","Hepar","D05","True","","__export__.cdn_ref_diet_73_42ac93f1"
"__export__.cdn_ref_diet_74_cb3bb7a1","RENDAH PROTEIN,BH STERIL","D27","True","","__export__.cdn_ref_diet_74_cb3bb7a1"
"__export__.cdn_ref_diet_75_9fb44812","RENDAH PURIN","D33","True","","__export__.cdn_ref_diet_75_9fb44812"
"__export__.cdn_ref_diet_76_da7d527c","RG","D08","True","","__export__.cdn_ref_diet_76_da7d527c"
"__export__.cdn_ref_diet_77_40fbcaa0","rg","D31","True","","__export__.cdn_ref_diet_77_40fbcaa0"
"__export__.cdn_ref_diet_78_30fe0974","RG 1700 KKAL","D19","True","","__export__.cdn_ref_diet_78_30fe0974"
"__export__.cdn_ref_diet_79_b9bb01f9","RG BH","D35","True","","__export__.cdn_ref_diet_79_b9bb01f9"
"__export__.cdn_ref_diet_80_90d14ea2","RG DM 1700KKAL","D11","True","","__export__.cdn_ref_diet_80_90d14ea2"
"__export__.cdn_ref_diet_81_af8358ee","RG DM BH","D24","True","","__export__.cdn_ref_diet_81_af8358ee"
"__export__.cdn_ref_diet_82_9d68b5f9","RG LUNAK","D07","True","","__export__.cdn_ref_diet_82_9d68b5f9"
"__export__.cdn_ref_diet_83_ebf65ca4","RG R.PROTEIN,HEPAR SETERIL","D34","True","","__export__.cdn_ref_diet_83_ebf65ca4"
"__export__.cdn_ref_diet_84_dcd6d436","RG sonde 1700kkal","D41","True","","__export__.cdn_ref_diet_84_dcd6d436"
"__export__.cdn_ref_diet_85_4686463e","RG STERIL","D38","True","","__export__.cdn_ref_diet_85_4686463e"
"__export__.cdn_ref_diet_86_6ea2d199","RO","D02","True","","__export__.cdn_ref_diet_86_6ea2d199"
"__export__.cdn_ref_diet_87_c8058ebf","RS","D15","True","","__export__.cdn_ref_diet_87_c8058ebf"
"__export__.cdn_ref_diet_88_74b7f1da","RS lunak","D22","True","","__export__.cdn_ref_diet_88_74b7f1da"
"__export__.cdn_ref_diet_89_d425dad0","sonde","D18","True","","__export__.cdn_ref_diet_89_d425dad0"
"__export__.cdn_ref_diet_90_659b7ef7","sonde rg dm lunak","D23","True","","__export__.cdn_ref_diet_90_659b7ef7"
"__export__.cdn_ref_diet_91_2b09ccb2","TKTP","D01","True","","__export__.cdn_ref_diet_91_2b09ccb2"
"__export__.cdn_ref_diet_92_375d5e12","TKTP 1700 KKAL","D12","True","","__export__.cdn_ref_diet_92_375d5e12"
