"id","priority","name","default_code","responsible_id","list_price","standard_price","uom_id","id","jns_jasa_medis","type","jns_tindakan","hospital_product_type","categ_id","detailed_type","purchase_ok","sale_ok"
"__export__.product_template_38_3e2ad6d5","Biasa","Bilirubin Direct","","Administrator","15000.0","0.0","Unit","__export__.product_template_38_3e2ad6d5","Lab PK","Jasa","","Jasa Layanan Medis","All","Jasa","","True"
"__export__.product_template_45_0ef6d5a3","Biasa","Bilirubin Indirect","","Administrator","15000.0","0.0","Unit","__export__.product_template_45_0ef6d5a3","Lab PK","Jasa","","Jasa Layanan Medis","All","Jasa","","True"
"__export__.product_template_32_19ac9448","Biasa","Cek Lab Hematologi BT","","Administrator","10250.0","0.0","Unit","__export__.product_template_32_19ac9448","Lab PK","Jasa","","Jasa Layanan Medis","All","Jasa","","True"
"__export__.product_template_31_55364154","Biasa","Cek Lab Hematologi CT","","Administrator","10250.0","0.0","Unit","__export__.product_template_31_55364154","Lab PK","Jasa","","Jasa Layanan Medis","All","Jasa","","True"
"__export__.product_template_30_e98e01c4","Biasa","Cek Lab Hematologi Gol Darah","","Administrator","25000.0","0.0","Unit","__export__.product_template_30_e98e01c4","Lab PK","Jasa","","Jasa Layanan Medis","All","Jasa","","True"
"__export__.product_template_28_ca672630","Biasa","Cek Lab Hematologi Lengkap","","Administrator","80000.0","0.0","Unit","__export__.product_template_28_ca672630","Lab PK","Jasa","","Jasa Layanan Medis","All","Jasa","","True"
"__export__.product_template_29_12d08ccc","Biasa","Cek Lab Hematologi Rutin","","Administrator","70000.0","0.0","Unit","__export__.product_template_29_12d08ccc","Lab PK","Jasa","","Jasa Layanan Medis","All","Jasa","","True"
"__export__.product_template_34_1f2e9ada","Biasa","Cek Urine Lengkap","","Administrator","25000.0","0.0","Unit","__export__.product_template_34_1f2e9ada","Lab PK","Jasa","","Jasa Layanan Medis","All","Jasa","","True"
"__export__.product_template_33_8a28f238","Biasa","Cek Urine Rutin","","Administrator","15000.0","0.0","Unit","__export__.product_template_33_8a28f238","Lab PK","Jasa","","Jasa Layanan Medis","All","Jasa","","True"
"cdn_simrs_base.cdn_consultation_service_0_product_template","Biasa","Consultation Service","","","75000.0","75000.0","Unit","cdn_simrs_base.cdn_consultation_service_0_product_template","","Jasa","","Konsultasi","All","Jasa","True","True"
"cdn_simrs_base.cdn_followup_service_0_product_template","Biasa","Follow-up Service","","","75000.0","75000.0","Unit","cdn_simrs_base.cdn_followup_service_0_product_template","","Jasa","","Konsultasi","All","Jasa","True","True"
"__export__.product_template_1214_f106ea42","Biasa","Foto Thorax AP/PA","","Administrator","180000.0","0.0","Unit","__export__.product_template_1214_f106ea42","Radiologi","Jasa","","Jasa Layanan Medis","All","Jasa","","True"
"__export__.product_template_42_49a97945","Biasa","Glukosa 2 Jam PP","","Administrator","25000.0","0.0","Unit","__export__.product_template_42_49a97945","Lab PK","Jasa","","Jasa Layanan Medis","All","Jasa","","True"
"__export__.product_template_41_5f537999","Biasa","Glukosa Puasa","","Administrator","25000.0","0.0","Unit","__export__.product_template_41_5f537999","Lab PK","Jasa","","Jasa Layanan Medis","All","Jasa","","True"
"__export__.product_template_40_44361811","Biasa","Glukosa Sewaktu","","Administrator","25000.0","0.0","Unit","__export__.product_template_40_44361811","Lab PK","Jasa","","Jasa Layanan Medis","All","Jasa","","True"
"__export__.product_template_1221_3616bfe7","Biasa","Histokimia","","Administrator","300000.0","0.0","Unit","__export__.product_template_1221_3616bfe7","Lab PA","Jasa","","Jasa Layanan Medis","All","Jasa","","True"
"__export__.product_template_1220_8d00dc96","Biasa","Histopatologi","","Administrator","300000.0","0.0","Unit","__export__.product_template_1220_8d00dc96","Lab PA","Jasa","","Jasa Layanan Medis","All","Jasa","","True"
"__export__.product_template_43_2a20ee21","Biasa","Kolesterol","","Administrator","30000.0","0.0","Unit","__export__.product_template_43_2a20ee21","Lab PK","Jasa","","Jasa Layanan Medis","All","Jasa","","True"
"cdn_simrs_base.cdn_registration_service_0_product_template","Biasa","Pendaftaran Periksa Pasien","","","15000.0","15000.0","Unit","cdn_simrs_base.cdn_registration_service_0_product_template","","Jasa","","Konsultasi","All","Jasa","","True"
"__export__.product_template_1226_118becdb","Biasa","Rontgen","","Administrator","1.0","0.0","Unit","__export__.product_template_1226_118becdb","Radiologi","Jasa","","Jasa Layanan Medis","All","Jasa","True","True"
"__export__.product_template_36_9e7d3f9e","Biasa","SGOT/AST","","Administrator","18000.0","0.0","Unit","__export__.product_template_36_9e7d3f9e","Lab PK","Jasa","","Jasa Layanan Medis","All","Jasa","","True"
"__export__.product_template_37_d9c96aef","Biasa","SGPT/ALT","","Administrator","18000.0","0.0","Unit","__export__.product_template_37_d9c96aef","Lab PK","Jasa","","Jasa Layanan Medis","All","Jasa","","True"
"__export__.product_template_1222_ce9d0457","Biasa","Sitologi","","Administrator","300000.0","0.0","Unit","__export__.product_template_1222_ce9d0457","Lab PA","Jasa","","Jasa Layanan Medis","All","Jasa","","True"
"__export__.product_template_35_d7954cc4","Biasa","Test Kehamilan","","Administrator","25000.0","0.0","Unit","__export__.product_template_35_d7954cc4","Lab PK","Jasa","","Jasa Layanan Medis","All","Jasa","","True"
"__export__.product_template_44_19d6d74f","Biasa","Trigliserid","","Administrator","33000.0","0.0","Unit","__export__.product_template_44_19d6d74f","Lab PK","Jasa","","Jasa Layanan Medis","All","Jasa","","True"
"__export__.product_template_1215_74d5d0b6","Biasa","USG Abdomen","","Administrator","475000.0","0.0","Unit","__export__.product_template_1215_74d5d0b6","Radiologi","Jasa","","Jasa Layanan Medis","All","Jasa","","True"
"__export__.product_template_1216_e5c41b6a","Biasa","USG Mammae","","Administrator","390000.0","0.0","Unit","__export__.product_template_1216_e5c41b6a","Radiologi","Jasa","","Jasa Layanan Medis","All","Jasa","","True"
"__export__.product_template_1217_370a13f7","Biasa","USG Mammae 2 Warna","","Administrator","415000.0","0.0","Unit","__export__.product_template_1217_370a13f7","Radiologi","Jasa","","Jasa Layanan Medis","All","Jasa","","True"
"__export__.product_template_1218_2defe52d","Biasa","USG Thyroid","","Administrator","395000.0","0.0","Unit","__export__.product_template_1218_2defe52d","Radiologi","Jasa","","Jasa Layanan Medis","All","Jasa","","True"
"__export__.product_template_1219_924768b4","Biasa","USG Thyroid 2 Warna","","Administrator","415000.0","0.0","Unit","__export__.product_template_1219_924768b4","Radiologi","Jasa","","Jasa Layanan Medis","All","Jasa","","True"
"__export__.product_template_39_740308a4","Biasa","Widal Test","","Administrator","40000.0","0.0","Unit","__export__.product_template_39_740308a4","Lab PK","Jasa","","Jasa Layanan Medis","All","Jasa","","True"
