id;name;street;phone;id;email;country_id;propinsi_id
__export__.cdn_asuransi_1_91857bb3;PT Asuransi Jiwa Sinarmas MSIG;Wisma Eka Jiwa Lantai 8-9 Jl. Mangga Dua Raya;021-5262626, 021-5262131;__export__.cdn_asuransi_1_91857bb3;biropengurus@sinarmasmsiglife.co.id;Indonesia;31
__export__.cdn_asuransi_2_664b1722;PT Asuransi Jiwasraya (Persero);Jl. Ir H. Juanda No 34;021-3845031,021-3845031;__export__.cdn_asuransi_2_664b1722;asuransi@jiwasraya.co.id;Indonesia;31
__export__.cdn_asuransi_3_a542a168;PT FWD Life Indonesia;Cyber 2 Tower 28th Floor Jl. HR Rasuna Said Blok X-5;021-1500393, 021-29545500;__export__.cdn_asuransi_3_a542a168;cs.id@fwd.com;Indonesia;31
__export__.cdn_asuransi_4_7a327087;PT Panin Dai-chi Life;Gedung Panin Life Center Lantai 6 Jl. Letjend S. Parman Kav. 91;021-25566888, 021-25566799;__export__.cdn_asuransi_4_7a327087;panin@paninlife.co.id;Indonesia;31
__export__.cdn_asuransi_5_ad3d6ff6;PT Ace Life Assurance;Gedung Podium Thamrin Nine (ACE Square) Lantai 6 Jalan MH Thamrin No 10 Kelurahan Kebon Melati Kecamatan Tanah Abang;021-23568888, 021-23568889;__export__.cdn_asuransi_5_ad3d6ff6;CustomerService.IDLife@acegroup.com;Indonesia;31
__export__.cdn_asuransi_6_12a7a7ef;PT Asuransi Jiwa Adisarana Wanaartha;Jl. Mampang Raya No. 76;021-7985179, 021-7985180;__export__.cdn_asuransi_6_12a7a7ef;customercare@wanaarthalife.com;Indonesia;31
__export__.cdn_asuransi_7_b32f5541;PT AIA Financial;Menara Matahari Lantai 7 Jl. Bulevar Palem Raya No. 7 Lippo Karawaci;021-54218888, 021-5475 403;__export__.cdn_asuransi_7_b32f5541;CORP.COMM@aaig-life.co.id;Indonesia;31
__export__.cdn_asuransi_8_3fa17850;PT Asuransi Allianz Life Indonesia;Allianz Tower Lantai 7 Jl. HR. Rasuna Said Super Blok 2, Kawasan Kuningan Persada;021-29268888, 021-29269090;__export__.cdn_asuransi_8_3fa17850;contactus@allianz.co.id;Indonesia;31
__export__.cdn_asuransi_9_34482662;Asuransi Jiwa Bersama Bumiputera 1912;Wisma Bumiputera Lantai 17 - 21 Jl. Jend. Sudirman Kav. 75;021-2512154, 2512157;__export__.cdn_asuransi_9_34482662;info@bumiputera.com;Indonesia;31
__export__.cdn_asuransi_10_da8ff73a;PT Axa Financial Indonesia;Gedung AXA Tower Kuningan City Lantai 17 Jl. Prof. Dr. Satrio Kav. 18;021-30058000;__export__.cdn_asuransi_10_da8ff73a;customer@axa-financial.co.id;Indonesia;31
__export__.cdn_asuransi_11_d2e2e594;PT Axa Life Indonesia;AXA Tower Lantai 20 Kuningan City, Jl. Prof. Dr. Satrio Kav. 18 Kel. Karet Kuningan Kec. Setiabudi;021-30056800;__export__.cdn_asuransi_11_d2e2e594;Customer@axa-life.co.id;Indonesia;31
__export__.cdn_asuransi_12_248c48c9;PT Axa Mandiri Financial Services;Gedung AXA Tower Kuningan City Lantai 8 Jl. Prof Dr Satrio Kavling 18;021-30058888;__export__.cdn_asuransi_12_248c48c9;customer@axa-mandiri.co.id;Indonesia;31
__export__.cdn_asuransi_13_dc5a3c9e;PT Asuransi Jiwa Bakrie;Gd. Artha Graha Lantai 7 Jl. Jend. Sudirman Kav. 52-53;021-5155501;__export__.cdn_asuransi_13_dc5a3c9e;sasanto@bakrielife.com;Indonesia;31
__export__.cdn_asuransi_14_6c85f25d;PT Asuransi Jiwa BCA;Chase Plaza Lantai 22 Jalan Jend Sudirman Kav 21 Karet Setiabudi;021-21888000, 021-29347977;__export__.cdn_asuransi_14_6c85f25d;customer@bcalife.co.id;Indonesia;31
__export__.cdn_asuransi_15_b3223d73;PT BNI Life Insurance;BNI Life Tower 21st Floor, The Landmark Center Jl. Jend. Sudirman No. 1;021-57851003;__export__.cdn_asuransi_15_b3223d73;bnilife@bni-life.co.id;Indonesia;31
__export__.cdn_asuransi_16_a6b07eb0;PT Asuransi Jiwa Bringin Jiwa Sejahtera;Gedung Graha Irama Lantai 5,7,15 Jl. HR Rasuna Said Kav. 1&2 Kuningan;021-5261260, 5261261;__export__.cdn_asuransi_16_a6b07eb0;ecs@bringinlife.co.id;Indonesia;31
__export__.cdn_asuransi_17_c3f71b90;PT Central Asia Financial;Citicon Tower Lantai 8 Unit C-F Jalan Letjend S. Parman Kav. 72, Slipi;021-29621622;__export__.cdn_asuransi_17_c3f71b90;;Indonesia;31
__export__.cdn_asuransi_18_7e3f3232;PT Asuransi Jiwa Central Asia Raya;Wisma Asia Lantai 11 Jl. S. Parman Kav. 79;021-5637901;__export__.cdn_asuransi_18_7e3f3232;lancar@car.co.id;Indonesia;31
__export__.cdn_asuransi_19_33052ca5;PT Asuransi CIGNA;Gedung Tempo Pavilion 2 Lantai 9 Jl. HR. Rasuna Said, Kav. 10, Kelurahan Kuningan Timur, Kecamatan Setiabudi;;__export__.cdn_asuransi_19_33052ca5;;Indonesia;31
